JobTitle,Gender,Age,PerfEval,Education,Dept,Seniority,BasePay,Bonus,TotalPay
Graphic Designer,Female,18,5,College,Operations,2,42363,9938,52301
Software Engineer,Male,21,5,College,Management,5,108476,11128,119604
Warehouse Associate,Female,19,4,PhD,Administration,5,90208,9268,99476
Software Engineer,Male,20,5,Masters,Sales,4,108080,10154,118234
Graphic Designer,Male,26,5,Masters,Engineering,5,99464,9319,108783
IT,Female,20,5,PhD,Operations,4,70890,10126,81016
Graphic Designer,Female,20,5,College,Sales,4,67585,10541,78126
Software Engineer,Male,18,4,PhD,Engineering,5,97523,10240,107763
Graphic Designer,Female,33,5,High School,Engineering,5,112976,9836,122812
Sales Associate,Female,35,5,College,Engineering,5,106524,9941,116465
Graphic Designer,Male,24,5,PhD,Engineering,5,102261,10212,112473
Driver,Female,18,5,College,Management,3,62759,10124,72883
Financial Analyst,Female,19,5,College,Sales,3,84007,8990,92997
Warehouse Associate,Female,30,5,Masters,Administration,5,86220,9583,95803
Warehouse Associate,Female,35,5,PhD,Operations,4,95584,9745,105329
Marketing Associate,Female,27,5,PhD,Management,3,73357,10334,83691
Financial Analyst,Female,23,5,PhD,Administration,5,88422,10768,99190
Warehouse Associate,Female,24,5,College,Administration,5,99545,9949,109494
Sales Associate,Male,21,5,High School,Engineering,5,90386,9461,99847
Data Scientist,Female,30,5,College,Engineering,5,92067,9838,101905
Warehouse Associate,Male,36,5,PhD,Engineering,5,108446,9210,117656
Financial Analyst,Male,24,5,PhD,Sales,3,83323,9329,92652
Warehouse Associate,Male,24,5,PhD,Sales,3,85205,9792,94997
Driver,Female,35,5,College,Management,1,72038,9031,81069
Software Engineer,Male,21,4,PhD,Engineering,5,132823,9625,142448
Graphic Designer,Female,26,5,College,Engineering,2,71182,10015,81197
Software Engineer,Male,19,5,Masters,Administration,4,100305,9618,109923
Graphic Designer,Male,35,5,PhD,Management,3,88566,9469,98035
Warehouse Associate,Male,34,5,PhD,Engineering,4,104271,10177,114448
IT,Female,38,5,College,Administration,5,112392,10504,122896
Software Engineer,Male,20,5,Masters,Management,2,66359,10137,76496
Sales Associate,Male,35,5,Masters,Management,5,103007,10512,113519
Marketing Associate,Female,26,5,PhD,Operations,4,80306,9233,89539
Data Scientist,Female,22,5,High School,Engineering,3,74523,9972,84495
Data Scientist,Female,45,5,PhD,Management,5,113252,10139,123391
Software Engineer,Male,27,5,PhD,Management,4,96040,10050,106090
Software Engineer,Male,21,5,High School,Management,4,91674,9780,101454
Software Engineer,Male,31,5,High School,Operations,3,92928,9094,102022
IT,Female,33,5,College,Management,4,84638,9409,94047
IT,Male,19,5,College,Administration,4,78986,9023,88009
Data Scientist,Male,29,5,PhD,Administration,5,96355,9784,106139
Data Scientist,Male,32,5,PhD,Management,3,87121,8703,95824
Software Engineer,Male,31,5,PhD,Sales,2,88724,8949,97673
Warehouse Associate,Male,22,5,Masters,Engineering,2,58219,9868,68087
Software Engineer,Male,25,5,Masters,Sales,5,119024,11293,130317
Software Engineer,Male,22,5,Masters,Management,3,81503,9729,91232
Data Scientist,Female,21,5,PhD,Operations,3,70643,10033,80676
Graphic Designer,Female,26,5,PhD,Sales,3,74167,10346,84513
Marketing Associate,Male,21,5,College,Management,5,86886,9424,96310
IT,Female,22,5,High School,Sales,4,102120,10215,112335
Sales Associate,Male,18,4,Masters,Operations,5,90780,9353,100133
Software Engineer,Male,18,4,Masters,Operations,4,89474,9104,98578
Marketing Associate,Female,35,5,PhD,Engineering,5,97376,9564,106940
Data Scientist,Female,33,5,Masters,Sales,2,89415,9654,99069
Software Engineer,Female,22,4,Masters,Operations,3,88037,8949,96986
Data Scientist,Female,24,4,College,Administration,4,71105,8623,79728
Driver,Female,31,5,High School,Engineering,2,62692,8886,71578
Software Engineer,Male,40,5,PhD,Management,4,112466,9493,121959
Data Scientist,Female,49,5,College,Operations,3,71193,8331,79524
Marketing Associate,Female,20,5,Masters,Administration,4,76286,9479,85765
Financial Analyst,Male,18,5,PhD,Engineering,4,97328,9874,107202
Graphic Designer,Male,34,5,Masters,Management,3,86766,9841,96607
Warehouse Associate,Female,41,5,College,Operations,2,82453,9564,92017
Software Engineer,Male,19,5,PhD,Administration,3,88814,10153,98967
Driver,Male,31,5,College,Management,4,82832,9958,92790
Sales Associate,Female,33,5,High School,Engineering,3,83034,8841,91875
Warehouse Associate,Female,53,5,College,Engineering,5,127085,9687,136772
Sales Associate,Male,24,5,High School,Administration,1,66168,9242,75410
Data Scientist,Male,18,5,PhD,Administration,4,59212,10209,69421
Data Scientist,Male,18,5,High School,Operations,2,55189,9405,64594
Manager,Male,25,5,College,Engineering,5,131311,11067,142378
Sales Associate,Female,31,5,College,Management,1,52633,9516,62149
Warehouse Associate,Female,31,4,PhD,Operations,5,101154,10324,111478
Financial Analyst,Female,42,5,College,Engineering,5,113640,8762,122402
Data Scientist,Male,22,4,High School,Management,2,50401,8590,58991
Marketing Associate,Female,23,5,PhD,Administration,3,46263,9432,55695
Warehouse Associate,Female,36,4,College,Management,3,74938,8234,83172
Marketing Associate,Female,39,5,College,Sales,5,103384,9168,112552
Warehouse Associate,Female,39,5,College,Engineering,2,77584,9798,87382
Graphic Designer,Male,23,5,Masters,Management,3,83031,10240,93271
Financial Analyst,Male,29,5,Masters,Engineering,5,111019,10042,121061
Warehouse Associate,Female,25,3,Masters,Engineering,4,80192,8747,88939
Warehouse Associate,Male,21,5,PhD,Management,1,48755,9931,58686
Warehouse Associate,Male,28,5,High School,Engineering,2,59044,9368,68412
Manager,Male,29,4,PhD,Engineering,5,146615,10173,156788
Data Scientist,Female,32,5,PhD,Engineering,1,46693,8457,55150
IT,Female,48,5,PhD,Operations,3,88152,8857,97009
Data Scientist,Female,38,5,Masters,Administration,5,127156,9979,137135
Graphic Designer,Male,31,5,PhD,Engineering,1,69462,8872,78334
Manager,Male,19,4,PhD,Sales,5,119162,9395,128557
Software Engineer,Male,26,5,PhD,Operations,2,68466,8384,76850
Financial Analyst,Female,36,5,Masters,Administration,3,92622,8509,101131
Marketing Associate,Female,34,5,Masters,Engineering,1,51331,9130,60461
Warehouse Associate,Male,49,5,High School,Sales,4,109419,8375,117794
Software Engineer,Male,18,5,College,Operations,3,80355,9945,90300
Driver,Female,21,4,Masters,Sales,4,77032,8725,85757
Financial Analyst,Female,47,5,High School,Sales,5,146190,8961,155151
Graphic Designer,Female,22,4,Masters,Administration,4,96045,9129,105174
Software Engineer,Male,29,5,High School,Management,1,82534,8914,91448
IT,Male,55,5,College,Management,5,127769,8802,136571
Marketing Associate,Female,34,5,High School,Sales,5,96061,9093,105154
Warehouse Associate,Female,48,5,College,Management,5,111342,10122,121464
Financial Analyst,Female,43,5,PhD,Management,3,117554,8369,125923
Financial Analyst,Female,30,5,High School,Engineering,5,109369,10052,119421
Warehouse Associate,Female,25,4,Masters,Operations,4,92358,9611,101969
Financial Analyst,Female,21,4,Masters,Operations,4,91978,8647,100625
Sales Associate,Male,28,5,PhD,Administration,1,52290,9330,61620
IT,Male,18,5,High School,Engineering,1,47036,9130,56166
Warehouse Associate,Male,46,5,PhD,Sales,1,76517,8502,85019
Marketing Associate,Female,29,4,Masters,Administration,5,89822,8818,98640
Driver,Male,32,4,PhD,Engineering,4,90368,8215,98583
Financial Analyst,Male,26,5,College,Engineering,4,106194,9421,115615
Warehouse Associate,Female,51,5,High School,Management,3,87684,8645,96329
Marketing Associate,Female,40,5,Masters,Administration,3,62040,8056,70096
Sales Associate,Female,52,5,Masters,Engineering,2,84132,7204,91336
Financial Analyst,Female,29,4,Masters,Administration,4,88047,8459,96506
Driver,Female,37,5,Masters,Administration,2,65012,8357,73369
Marketing Associate,Female,23,4,Masters,Engineering,4,59251,8596,67847
Graphic Designer,Female,18,4,PhD,Operations,3,78462,8743,87205
Driver,Male,40,5,College,Management,2,97414,8833,106247
Driver,Female,18,4,Masters,Administration,2,42722,8515,51237
Marketing Associate,Female,26,4,College,Management,3,63695,8897,72592
Data Scientist,Male,51,5,PhD,Operations,4,110731,8643,119374
Software Engineer,Male,54,5,PhD,Administration,4,125572,8245,133817
Driver,Male,49,5,Masters,Operations,2,72754,8014,80768
IT,Female,26,5,College,Administration,2,53956,9454,63410
Sales Associate,Male,58,5,High School,Engineering,5,135013,8972,143985
IT,Female,49,5,College,Management,3,108495,8668,117163
Financial Analyst,Female,27,4,High School,Administration,4,87608,7511,95119
Data Scientist,Male,38,5,College,Administration,5,101173,9255,110428
IT,Male,53,5,PhD,Management,5,126828,9310,136138
Financial Analyst,Male,49,5,High School,Engineering,4,102716,8290,111006
Marketing Associate,Male,26,4,High School,Engineering,5,77793,8700,86493
Marketing Associate,Female,44,5,High School,Sales,1,57469,7539,65008
Graphic Designer,Male,33,5,Masters,Management,3,83758,8498,92256
Graphic Designer,Male,22,5,PhD,Administration,1,40187,8549,48736
Financial Analyst,Male,41,5,Masters,Engineering,3,98531,6855,105386
Financial Analyst,Male,26,4,College,Operations,4,104435,7802,112237
Data Scientist,Male,29,5,High School,Administration,1,67617,9075,76692
Driver,Female,24,4,High School,Administration,5,91049,10375,101424
Manager,Female,32,5,PhD,Operations,1,98519,8943,107462
Marketing Associate,Female,36,4,High School,Operations,5,91713,7627,99340
Warehouse Associate,Female,41,4,Masters,Engineering,3,88994,8873,97867
Financial Analyst,Male,44,5,Masters,Administration,4,119381,9345,128726
Financial Analyst,Female,43,5,High School,Sales,5,113180,9089,122269
Warehouse Associate,Male,48,5,PhD,Management,2,68639,9553,78192
Software Engineer,Female,28,3,PhD,Engineering,4,103763,8383,112146
Software Engineer,Male,40,5,College,Management,1,68295,7902,76197
Manager,Male,21,4,High School,Engineering,3,103107,9036,112143
Warehouse Associate,Female,19,4,College,Sales,2,64844,9042,73886
Driver,Female,61,5,PhD,Sales,4,129132,8472,137604
Warehouse Associate,Female,57,5,High School,Engineering,3,93470,8578,102048
Data Scientist,Male,28,4,Masters,Administration,5,97625,7985,105610
Graphic Designer,Female,52,5,College,Administration,1,66529,7067,73596
Data Scientist,Female,48,5,Masters,Management,1,100115,7679,107794
Warehouse Associate,Female,57,5,PhD,Administration,2,86423,8058,94481
Sales Associate,Male,30,4,Masters,Sales,5,115165,8841,124006
Data Scientist,Female,53,5,Masters,Engineering,5,133495,8552,142047
Marketing Associate,Male,47,5,Masters,Operations,3,86516,8049,94565
IT,Male,18,4,Masters,Administration,4,69855,8347,78202
Sales Associate,Female,35,4,PhD,Sales,1,84844,7205,92049
Graphic Designer,Female,51,5,College,Operations,3,108241,8602,116843
Warehouse Associate,Female,51,5,High School,Sales,3,106478,8744,115222
Financial Analyst,Male,38,4,College,Management,5,114421,7444,121865
Software Engineer,Male,24,4,Masters,Management,1,79208,8602,87810
Software Engineer,Male,49,5,Masters,Administration,5,142105,9653,151758
Sales Associate,Male,22,5,High School,Administration,1,57783,9306,67089
Marketing Associate,Female,33,5,High School,Operations,2,46903,8130,55033
Financial Analyst,Male,36,5,Masters,Operations,1,71858,7475,79333
Marketing Associate,Female,27,5,High School,Management,1,44325,8867,53192
Driver,Male,39,5,High School,Engineering,4,100183,8832,109015
Graphic Designer,Male,19,4,Masters,Sales,1,61000,8872,69872
Software Engineer,Male,59,5,Masters,Engineering,1,109623,6897,116520
Marketing Associate,Female,20,3,PhD,Sales,5,60070,8273,68343
IT,Female,29,4,Masters,Management,3,72542,8109,80651
Driver,Male,54,5,PhD,Administration,4,110049,8928,118977
IT,Female,30,4,Masters,Engineering,2,80981,8201,89182
IT,Female,42,5,College,Operations,2,83499,8950,92449
Driver,Female,42,4,Masters,Management,4,106788,8974,115762
Warehouse Associate,Female,50,4,Masters,Engineering,5,108922,8477,117399
IT,Female,43,5,PhD,Administration,5,127062,9619,136681
Software Engineer,Male,64,5,College,Sales,4,120593,7573,128166
Manager,Male,23,4,PhD,Administration,1,90685,8816,99501
Marketing Associate,Female,33,5,High School,Engineering,1,49830,8543,58373
Software Engineer,Male,39,4,High School,Sales,4,106896,7918,114814
Sales Associate,Male,58,5,PhD,Sales,2,129425,7524,136949
Marketing Associate,Female,24,3,Masters,Operations,5,82338,7414,89752
Marketing Associate,Female,37,4,PhD,Administration,3,86036,7567,93603
Graphic Designer,Male,53,5,High School,Operations,2,93073,8188,101261
Software Engineer,Male,33,5,PhD,Administration,2,87352,8435,95787
Software Engineer,Male,56,5,PhD,Administration,5,139760,9229,148989
Financial Analyst,Female,52,5,High School,Engineering,2,100070,7169,107239
Warehouse Associate,Male,40,5,Masters,Sales,4,102815,9090,111905
Software Engineer,Male,43,4,PhD,Management,5,101262,7794,109056
Data Scientist,Male,19,5,High School,Operations,2,58054,9585,67639
Sales Associate,Female,53,4,Masters,Operations,5,129609,7392,137001
Sales Associate,Male,44,5,Masters,Administration,2,100091,9185,109276
Manager,Male,23,4,Masters,Sales,3,103479,7850,111329
Driver,Female,51,5,College,Operations,1,72827,7285,80112
IT,Male,20,4,PhD,Engineering,2,74073,8509,82582
Financial Analyst,Male,47,5,College,Administration,2,64852,8023,72875
Graphic Designer,Male,49,5,College,Management,4,106887,8347,115234
Software Engineer,Male,26,4,College,Administration,2,77309,7957,85266
Graphic Designer,Female,44,4,High School,Administration,4,100416,7513,107929
Software Engineer,Male,18,3,Masters,Engineering,2,88482,7385,95867
Data Scientist,Female,32,4,College,Management,4,78623,9012,87635
Sales Associate,Male,18,4,High School,Management,4,80135,9007,89142
Warehouse Associate,Female,63,5,High School,Sales,2,106158,7654,113812
Graphic Designer,Female,37,4,College,Engineering,4,89411,9522,98933
Graphic Designer,Male,22,4,Masters,Sales,2,57398,7827,65225
Marketing Associate,Female,64,5,PhD,Sales,2,95687,7279,102966
Graphic Designer,Female,39,4,PhD,Operations,5,120294,8090,128384
Manager,Male,20,4,College,Sales,2,107140,8199,115339
Financial Analyst,Female,39,5,College,Operations,1,76773,7278,84051
Data Scientist,Female,37,4,Masters,Engineering,2,98010,8210,106220
Data Scientist,Female,39,4,PhD,Management,3,91099,8306,99405
Financial Analyst,Male,29,4,High School,Management,4,89559,8338,97897
Software Engineer,Male,58,5,High School,Management,3,120156,7200,127356
Driver,Male,38,5,PhD,Engineering,4,102966,8978,111944
Marketing Associate,Female,64,5,PhD,Sales,5,128970,7346,136316
Warehouse Associate,Female,51,4,High School,Management,5,121376,7832,129208
Financial Analyst,Male,53,5,Masters,Administration,3,112941,7404,120345
Graphic Designer,Male,46,5,High School,Engineering,4,102736,9736,112472
Driver,Female,28,4,High School,Management,1,64008,7185,71193
IT,Male,52,5,Masters,Engineering,1,90024,7350,97374
Financial Analyst,Female,48,4,Masters,Management,5,129406,7280,136686
IT,Female,34,5,College,Operations,1,54245,8245,62490
Marketing Associate,Female,27,4,High School,Administration,5,67530,9311,76841
Graphic Designer,Male,18,4,High School,Sales,4,75506,9289,84795
Graphic Designer,Female,31,4,College,Engineering,2,81826,8375,90201
Software Engineer,Female,27,4,High School,Operations,1,65711,7789,73500
Sales Associate,Male,29,3,Masters,Management,2,61164,6346,67510
Driver,Female,41,5,Masters,Administration,1,73801,8317,82118
Manager,Male,62,5,College,Administration,5,157410,7840,165250
Graphic Designer,Male,23,4,High School,Operations,1,50601,7351,57952
Data Scientist,Male,29,4,High School,Engineering,3,65907,7668,73575
Data Scientist,Male,38,5,High School,Sales,2,80937,8335,89272
Driver,Male,34,4,College,Administration,5,90330,7022,97352
Sales Associate,Female,62,5,College,Operations,2,93268,7657,100925
IT,Male,40,4,College,Administration,5,109345,7791,117136
Software Engineer,Male,27,4,Masters,Engineering,1,66084,7769,73853
Financial Analyst,Male,35,4,PhD,Operations,5,98900,7960,106860
IT,Male,19,4,College,Engineering,3,78113,9335,87448
Software Engineer,Male,36,4,Masters,Engineering,5,130826,9694,140520
Sales Associate,Male,23,3,High School,Engineering,3,85928,7229,93157
IT,Male,43,5,College,Operations,4,98515,9090,107605
Graphic Designer,Female,48,4,College,Administration,4,103133,7793,110926
Marketing Associate,Female,20,4,College,Sales,4,69254,8609,77863
Graphic Designer,Male,27,4,College,Sales,5,114680,8472,123152
Driver,Male,25,3,PhD,Engineering,5,92687,7634,100321
Graphic Designer,Male,21,3,Masters,Engineering,4,72301,8391,80692
Financial Analyst,Male,24,4,Masters,Administration,1,67749,8517,76266
Data Scientist,Female,61,5,Masters,Management,2,97000,7757,104757
Manager,Male,52,5,High School,Operations,2,104526,7253,111779
Data Scientist,Male,26,4,High School,Management,3,80494,8449,88943
Financial Analyst,Female,30,4,High School,Operations,2,40341,7320,47661
Software Engineer,Male,29,4,High School,Engineering,1,74316,8761,83077
IT,Female,46,5,PhD,Sales,3,102247,8307,110554
Driver,Male,49,4,College,Sales,5,104657,6839,111496
Warehouse Associate,Female,37,3,High School,Engineering,5,92722,8010,100732
Sales Associate,Female,51,5,Masters,Management,1,72120,9084,81204
Warehouse Associate,Female,28,4,Masters,Operations,1,62260,7740,70000
Manager,Male,45,5,High School,Engineering,3,123422,8894,132316
Warehouse Associate,Male,48,5,College,Sales,1,62097,7075,69172
Data Scientist,Male,53,5,High School,Management,2,102910,8335,111245
Data Scientist,Female,29,4,High School,Engineering,3,84021,9111,93132
Warehouse Associate,Female,19,4,High School,Operations,1,37026,8636,45662
Driver,Male,18,3,PhD,Operations,3,56318,8407,64725
IT,Male,28,4,High School,Operations,3,64958,7910,72868
Data Scientist,Female,31,4,High School,Operations,2,55954,7999,63953
Graphic Designer,Female,58,4,PhD,Sales,3,108820,7776,116596
IT,Female,41,5,High School,Operations,3,100014,8621,108635
Driver,Male,36,4,PhD,Operations,3,88213,8581,96794
Sales Associate,Female,34,3,High School,Sales,4,108288,7491,115779
Driver,Male,56,5,Masters,Sales,5,100859,8388,109247
Financial Analyst,Female,30,4,Masters,Administration,5,114007,9248,123255
Warehouse Associate,Male,37,4,High School,Management,3,83025,8105,91130
IT,Male,28,4,High School,Administration,5,95964,9147,105111
Warehouse Associate,Female,47,4,College,Administration,2,94973,7885,102858
Graphic Designer,Male,44,4,High School,Sales,4,102108,8339,110447
Data Scientist,Male,24,4,Masters,Sales,2,60736,7873,68609
IT,Male,47,5,PhD,Operations,1,82126,6971,89097
Financial Analyst,Male,33,5,Masters,Operations,1,69878,8389,78267
IT,Female,22,4,Masters,Sales,1,37780,8443,46223
Graphic Designer,Male,57,4,Masters,Management,4,132873,7266,140139
Financial Analyst,Male,20,4,High School,Operations,2,65164,7827,72991
IT,Female,65,5,Masters,Administration,4,121210,7949,129159
Graphic Designer,Female,49,4,PhD,Engineering,2,95169,7415,102584
Sales Associate,Male,19,3,PhD,Management,4,94492,8209,102701
Driver,Female,39,4,PhD,Operations,2,75901,7402,83303
Sales Associate,Male,33,3,Masters,Operations,5,100463,6332,106795
Sales Associate,Female,40,4,Masters,Operations,5,92276,9551,101827
Driver,Female,21,2,College,Engineering,5,92458,6966,99424
Graphic Designer,Male,46,4,High School,Administration,4,88571,7464,96035
Financial Analyst,Male,39,4,PhD,Management,3,87409,7168,94577
Warehouse Associate,Male,58,5,College,Sales,4,133927,8278,142205
Manager,Male,33,4,Masters,Sales,1,90482,7094,97576
Marketing Associate,Female,27,4,High School,Sales,4,87435,9230,96665
Graphic Designer,Female,65,5,High School,Operations,4,130251,7750,138001
Manager,Female,34,3,Masters,Management,2,106560,7257,113817
Software Engineer,Male,56,5,College,Operations,3,107366,7774,115140
Warehouse Associate,Female,34,4,High School,Sales,1,56172,7739,63911
Marketing Associate,Female,35,4,Masters,Sales,2,58807,7316,66123
Financial Analyst,Female,49,4,Masters,Sales,4,126626,7144,133770
Manager,Female,24,3,PhD,Sales,3,104202,8456,112658
Warehouse Associate,Male,39,4,PhD,Operations,3,77793,8093,85886
Warehouse Associate,Male,45,4,High School,Operations,2,84930,6914,91844
Driver,Male,32,3,Masters,Engineering,2,69367,6378,75745
Graphic Designer,Male,65,5,Masters,Operations,5,116751,8505,125256
Software Engineer,Male,52,4,Masters,Administration,5,139841,7641,147482
Driver,Female,52,4,College,Administration,2,78750,6666,85416
Warehouse Associate,Female,38,3,College,Administration,5,93306,8265,101571
Financial Analyst,Male,19,4,Masters,Operations,2,60892,8462,69354
Graphic Designer,Male,20,2,Masters,Engineering,5,99543,6111,105654
Sales Associate,Female,29,3,PhD,Operations,2,56745,6495,63240
Data Scientist,Female,29,4,College,Operations,1,59458,7939,67397
Driver,Female,18,2,Masters,Sales,4,71824,6397,78221
Software Engineer,Male,64,5,High School,Operations,2,111903,6824,118727
IT,Male,55,5,College,Sales,3,104361,7813,112174
Warehouse Associate,Female,22,2,High School,Sales,5,91568,7139,98707
Software Engineer,Male,59,4,Masters,Engineering,4,155834,7101,162935
Financial Analyst,Male,30,5,Masters,Sales,1,83620,7864,91484
Marketing Associate,Female,50,5,PhD,Administration,1,81995,7840,89835
Graphic Designer,Female,27,4,PhD,Sales,1,66125,8465,74590
Driver,Male,27,3,College,Engineering,5,89678,7778,97456
Sales Associate,Female,57,5,Masters,Operations,3,98321,8980,107301
Manager,Male,48,4,College,Management,1,109346,7730,117076
Manager,Female,62,4,Masters,Sales,4,155203,7808,163011
IT,Male,64,5,PhD,Management,2,98100,7460,105560
Data Scientist,Female,29,3,High School,Management,4,73306,7765,81071
